Common,Scientific,Rating,Tag,Human,Bee,Notes,URL,URL2
Cork oak,Quercus suber,1,bee,2,1,,,
Nuttall oak,Quercus texana,1,bee,2,1,,,
Sonoran scrub oak,Quercus turbinella,1,bee,2,1,,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=745,
Black Oak,Quercus velutina,1,bee,2,1,,,
Southern live oak,Quercus virginiana,1,,1,1,,http://www.eattheweeds.com/acorns-the-inside-story/,
http://www.fruitipedia.com/,Rajania,2,,2,,,,
http://fruitandnuttrees.com/,Randia,2,,2,,,,
https://fallingfruit.org/,Raphanus,2,,2,,,,
http://pfaf.org,Reichardia,2,,2,,PFAF > 3,,
,Retama,-1,,-1,,Not edible. Medicinal,http://www.foragingtexas.com/2008/05/annotated-trees-shrubs-and-vines-of.html,
Maidenberry,Rhacoma crossopetalum,1,syn,1,,[syn] Crossopetalum rhacoma,,
http://www.fruitipedia.com/,Rhamnidium,2,,2,,,,
Buckthorn,Rhamnus,2,bee,2,2,"Berries can dye skin, etc",,
Italian buckthorn,Rhamnus alaternus,1,bee,-1,1,,http://nzes-nzje.grdev.co.nz/free_issues/NZJEcol19_2_111.pdf,
Coffeeberry,Rhamnus californica,1,,1,3,,http://www.fs.fed.us/database/feis/plants/shrub/rhacal/all.html,
Carolina buckthorn,Rhamnus caroliniana,2,,2,3,,http://www.pfaf.org/user/Plant.aspx?LatinName=Rhamnus+carolinianus,
Common buckthorn,Rhamnus cathartica,1,bee,-1,1,,,
,Rhaphiolepis,2,,2,,,,
India hawthorn,Rhaphiolepis indica,-1,,-1,,,,
,Rheedia,2,,2,,,,
https://fallingfruit.org/,Rheum,2,,2,,,,
http://pfaf.org,Rhexia,2,,2,,PFAF > 3,,
Rhododendron,Rhododendron,1,bee,-1,1,Or just the azaleas?,,
Catawba rhododendron,Rhododendron catawbiense,1,bee,-1,1,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Rhodognaphalon,2,,2,,,,
Native guava,Rhodomyrtus psidioides,1,,1,,,,
http://www.fruitipedia.com/,Rhoicissus,2,,2,,,,
Sumac,Rhus,2,,2,,,,
Fragrant sumac,Rhus aromatica,1,,1,,,,
Chinese sumac,Rhus chinensis,2,,2,,,,
Dwarf sumac,Rhus copallina,1,,1,,,,
Smooth sumac,Rhus glabra,1,,1,,,,
Staghorn sumac,Rhus hirta,1,syn,1,,[syn] Rhus typhina,,
Koree,Rhus lancea,-1,,-1,,,,
Prairie sumac,Rhus lanceolata,2,,2,,,http://books.google.com/books?id=pnnHgcasN-cC&pg=PA37&lpg=PA37&dq=Rhus+lanceolata+edible&source=bl&ots=VoYSnNFmQv&sig=BdDQOUTW5G8WSC81H4pWQtW_Ffw&hl=en&sa=X&ei=lbTYU9DeNYquyATfxoL4Aw&ved=0CEYQ6AEwCA#v=onepage&q=Rhus%20lanceolata%20edible&f=false,
Laurel sumac ,Rhus laurina,-1,syn,-1,,[syn] Malosma laurina,,
Sugar sumac,Rhus ovata,1,,1,,,,
Skunkbush sumac,Rhus trilobata,1,,1,,,,
Staghorn sumac,Rhus typhina,1,,1,,,,
Lacquer tree,Rhus verniciflua,-1,,-1,,,,
Evergreen sumac,Rhus virens,2,,2,,,http://books.google.com/books?id=pnnHgcasN-cC&pg=PA37&lpg=PA37&dq=Rhus+virens+edible&source=bl&ots=VoYSnNGeRx&sig=Yj1eHuSMfS8qRQ5oOdjh9Fk8mQc&hl=en&sa=X&ei=arXYU8vdENSxyAS97oFA&ved=0CB8Q6AEwAA#v=onepage&q=Rhus%20virens%20edible&f=false,
http://pfaf.org,Rhynchosinapis,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Rhynchospora,2,,2,,,,
,Ribes,1,,1,,,,
Blackcurrant,Ribes nigrum,1,,1,,,,
Redcurrant,Ribes rubrum,1,,1,,,,
Gooseberry,Ribes uva-crispa,1,,1,,,,
http://www.fruitipedia.com/,Ricinodendron,2,,2,,,,
http://pfaf.org,Ripogonum,2,,2,,PFAF = 3,,
Iadho locust,Robinia ambigua,3,,3,,Hybrid. Unknown edibility,,
Bristly locust,Robinia hispida,2,,2,,"Crispy flowers, but not as tasty as Black locust",,
New Mexico locust,Robinia neomexicana,1,,1,,Edible flowers,http://www.eattheweeds.com/edible-flowers-part-eight/,
Black Locust,Robinia pseudoacacia,1,,1,,Edible flowers,,
Black Locust,Robinia psuedoacacia,1,mis,1,,,,
Clammy locust,Robinia viscosa,-1,,-1,,,,
Holdt's locust,Robinia x holdtii,3,,3,,Hybrid. Unknown edibility,,
Biriba,Rollinia deliciosa,1,,1,,,,
http://pfaf.org,Rorippa,2,,2,,PFAF = 3,,
Rose,Rosa,1,,1,,,,
Rosemary,Rosmarinus officinalis,1,,1,,,,
Madhumalati,Roydsia suaveolens,1,,1,,,http://www.fruitipedia.com/Madhumalati_roydsia_suaveolens.htm,
http://www.fruitipedia.com/,Rubachia,2,syn,2,,[syn] Plinia,,
,Rubus,1,,1,,,,
Thimbleberry,Rubus parviflorus,1,,1,,,,
Wineberry,Rubus phoenicolasius,1,,1,,,,
Salmonberry,Rubus spectabilis,1,,1,,,,
http://www.fruitipedia.com/,Rumea,2,syn,2,,[syn] Xylosma,,
https://fallingfruit.org/,Rumex,2,,2,,,,
http://pfaf.org,Ruta,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Saba,2,,2,,,,
Sabal palm,Sabal,2,,2,,,,
Mexican palmetto,Sabal mexicana,2,,2,,,,
Dwarf palmetto,Sabal minor,3,,3,,,,
Cabbage palmetto,Sabal palmetto,2,,2,,Terminal bud like cabbage,,
Sonoran palmetto,Sabal uresana,3,,3,,,,
Riverside palmetto,Sabal x 'Riverside',3,,3,,,,
http://fruitandnuttrees.com/,Sageretia,2,,2,,,,
https://fallingfruit.org/,Sagittaria,2,,2,,,,
Snake palm,Salacca zalacca,1,,1,,,,
http://www.fruitipedia.com/,Salacia,2,,2,,,,
http://pfaf.org,Salicornia,2,,2,,PFAF = 3,,
Willow,Salix,1,bee,-1,1,,,
Babylon willow,Salix babylonica,1,bee,-1,1,,,
Weeping willow,Salix babylonica,1,cyn,-1,1,,,
Goat willow,Salix caprea,1,bee,-1,1,,,
American willow,Salix discolor,1,bee,-1,1,,,
Corkscrew willow,Salix matsudana,1,bee,-1,1,,,
Black willow,Salix nigra,1,bee,-1,1,,,
Golden weeping willow,Salix sepulcralis,1,bee,-1,1,,,
Sage,Salvia,2,,2,,,,
White sage,Salvia apiana,1,,1,,,,
Golden chia,Salvia columbariae,1,,1,,,,
Chia,Salvia hispanica,1,,1,,,,
Sage,Salvia officinalis,1,,1,,,,
Elderberry,Sambucus,1,,1,,,,
Blue elderberry,Sambucus caerulea,1,,1,,,,
American elderberry,Sambucus canadensis,1,,1,,,,
Black elderberry,Sambucus neomexicana,1,,1,,,,
Black elderberry,Sambucus nigra,1,,1,,,,
http://www.fruitipedia.com/,Sandoricum,2,,2,,,,
Santol,Sandoricum koetjape,1,,1,,Fruit,http://www.fruitipedia.com/santol.htm,
http://pfaf.org,Sanguisorba,2,,2,,PFAF > 3,,
Desert quandong,Santalum acuminatum,1,,1,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Santira,2,,2,,,,
Soapberry ,Sapindus,2,,2,,Used as soap. Seeds eaten? User added.,http://eattheweeds.com/forum/index.php?topic=1924.0,
Western soapberry,Sapindus drummondii,2,syn,2,,[syn] Sapindus saponaria,,
Western soapberry,Sapindus saponaria,2,,2,,,http://eattheweeds.com/forum/index.php?topic=1924.0,
Chinese tallow tree,Sapium sebiferum,1,syn,3,1,[syn] Triadica sebifera,,
http://pfaf.org,Sasa,2,,2,,PFAF > 3,,
Sassafras,Sassafras,1,,1,,,,
Sassafras,Sassafras albidum ,1,,1,,,,
https://fallingfruit.org/,Satureja,2,,2,,,,
http://www.fruitipedia.com/,Saurauia,2,,2,,,,
http://pfaf.org,Saxifraga,2,,2,,PFAF = 3,,
,Scheelea,2,syn,2,,[syn] Attalea,,
http://www.fruitipedia.com/,Scheelia,2,,2,,,,
Peruvian pepper,Schinus molle,2,,2,,"Pink peppercorns, potentially toxic",,
Chilean pepper,Schinus polygamus,2,,2,,"Pink peppercorns, potentially toxic",,
Brazilian pepper,Schinus terebinthefolia,1,mis,1,,[mis] Oakland,,
Brazilian pepper,Schinus terebinthifolius,1,,1,,Pink peppercorns,,
http://www.fruitipedia.com/,Schinziophyton,2,,2,,,,
,Schisandra,1,,1,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Schleichera,2,,2,,,,
Japanese umbrella-pine,Sciadopitys,-1,,-1,,Sciadopitys verticillata,,
http://pfaf.org,Scirpus,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Sciurus,2,,2,,,,
http://www.fruitipedia.com/,Sclerocarya,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Sclerocarya,2,,2,,,,
Marula,Sclerocarya birrea,1,,1,,Prized seeds,,
http://pfaf.org,Scolymus,2,,2,,PFAF = 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Scorodocarpus,2,,2,,,,
http://pfaf.org,Scorzonera,2,,2,,PFAF > 3,,
http://pfaf.org,Secale,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Sechium,2,,2,,,,
https://fallingfruit.org/,Sedum,2,,2,,,,
http://www.fruitipedia.com/,Selenicereus,2,,2,,,,
http://fruitandnuttrees.com/,Semecarpus,2,,2,,,,
Bamboo,Semiarundinaria,1,,1,,,,
Narihira bamboo,Semiarundinaria fastuosa,1,,1,,,,
,Senegalia crassifolia,-1,,-1,,No information,,
Catclaw acacia,Senegalia greggii,2,,2,,"Mature seeds poisonous, although young seeds were eaten",http://en.wikipedia.org/wiki/Acacia_greggii,
,Senegalia senegal,2,,2,,"Source of gum arabic, Edible seeds?",,
,Senna,2,,2,,,,
Kassod tree,Senna siamea,1,,1,,,http://en.wikipedia.org/wiki/Senna_siamea,
Pichanilla,Senna aphylla,2,,2,,Flour from seeds,http://es.wikipedia.org/wiki/Cassia_aphylla,
Palo zorillo,Senna atomaria,0,,0,,,http://tropical.theferns.info/viewtropical.php?id=Senna+atomaria,
Argentine senna,Senna corymbosa,-1,,-1,,,,
Carnaval,Senna spectabilis,0,,0,,,http://tropical.theferns.info/viewtropical.php?id=Senna+spectabilis,
Sequoia,Sequoiadendron,-1,,-1,,,,
Saw palmetto,Serenoa repens,1,,1,,Fruits historic food,,
http://pfaf.org,Setaria,2,,2,,PFAF = 3,,
Buffaloberry,Shepherdia,1,,1,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Shorea,2,,2,,,,
http://www.fruitipedia.com/,Sicana,2,,2,,,,
http://pfaf.org,Sidalcea,2,,2,,PFAF = 3,,
Bully tree,Sideroxylon,2,,2,,,,
Gum bully,Sideroxylon lanuginosum,2,,2,,Edible fruit,http://dendro.cnre.vt.edu/dendrology/syllabus2/factsheet.cfm?ID=929,
Gum Bumelia,Sideroxylon lanuginosum,2,cyn,2,,,,
https://fallingfruit.org/,Silybum,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Simmondsia,2,,2,,,,
Jojoba,Simmondsia chinensis,1,,1,,,http://www.fao.org/docrep/v8929e/v8929e08.htm,
https://fallingfruit.org/,Sinapis,2,,2,,,,
,Siraitia grosvenorii,1,,1,,,,
https://fallingfruit.org/,Sisymbrium,2,,2,,,,
http://pfaf.org,Sium,2,,2,,PFAF > 3,,
http://pfaf.org,Smilacena,2,,2,,PFAF > 3,,
http://pfaf.org,Smilax,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Smyrnium,2,,2,,,,
https://fallingfruit.org/,Solanaceae,2,,2,,,,
Tamarillo,Solanum betaceum,1,,1,,,,
Potato tree,Solanum erianthum,3,,3,,"Many medicinal uses. Berries are poisonous, but used in cooking curries in some places.",,
Eggplant,Solanum melongena,1,,1,,,,
Pepino dulce,Solanum muricatum,1,,1,,,,
Garden Huckleberry,Solanum scabrum,1,,1,,,,
Potato,Solanum tuberosum,1,,1,,,,
https://fallingfruit.org/,Solidago,2,,2,,,,
http://www.fruitipedia.com/,Sonneratia,2,,2,,,,
,Sophora,2,,2,,"Except maybe Sophora sericea, chewed as a delicacy?",,
Texas sophora,Sophora affinis,-1,,-1,,,,
Eve's necklace,Sophora affinis,-1,cyn,-1,,,,
Japanese pagodatree,Sophora japonica,-1,,-1,,"Fundamental herb in Chinese medicine, but requires a lot of cooking to remove bitterness.",,
Texas mountain laurel,Sophora secundiflora,-1,,-1,,Poisonous (and hallucinogen),http://en.wikipedia.org/wiki/Sophora_secundiflora,
Yellow necklacepod,Sophora tomentosa,-1,,-1,,Inedible,,
,Sorbopyrus,2,,2,,,,
,Sorbus,2,,2,,,,
,Sorbus alnifolia,-1,,-1,,,,
American mountain-ash,Sorbus americana,-1,,-1,,,,
Common whitebeam,Sorbus aria,2,,2,,,,
European Rowan,Sorbus aucuparia,1,,1,,,,
Showy Mountain-ash,Sorbus decora,-1,,-1,,,,
True Service Tree,Sorbus domestica ,1,,1,,,,
Swedish whitebeam,Sorbus intermedia,-1,,-1,,,,
Wild Service Tree,Sorbus torminalis,1,,1,,,,
https://fallingfruit.org/,Spinacia,2,,2,,,,
Ambarella,Spondias dulcis,1,,1,,"Widely eaten in SE Asia, Pacific, Carribean (Tahitian/Malay Apple)",,
http://pfaf.org,Sporobolus,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Stachys,2,,2,,,,
http://fruitandnuttrees.com/,Staphylea,2,,2,,,,
http://pfaf.org,Stauntonia,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Stelechocarpus,2,,2,,,,
https://fallingfruit.org/,Stellaria,2,,2,,,,
http://fruitandnuttrees.com/,Stenocereus,2,,2,,,,
Organ pipe cactus,Stenocereus thurberi,1,,1,,Delicious fruit,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=425,
Red-fruited kurrajong,Sterculia quadrifida,1,,1,,"Also Peanut tree, tastes like peanuts",,
http://pfaf.org,Stevia,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Stilago,2,syn,2,,[syn] Antidesma,,
Whalebone tree,Streblus brunonianus,2,,2,,Sweet small fruit,,
http://pfaf.org,Streptopus,2,,2,,PFAF > 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Strombosia,2,,2,,,,
,Strychnos nux-vomica,-1,,-1,,Toxic,,
Spiny monkey-orange,Strychnos spinosa,1,,1,,Traditional food in Africa,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Stylobasium,2,,2,,,,
,Styrax,-1,,-1,,,,
http://pfaf.org,Suaeda,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Suillus,2,,2,,,,
Licuri palm,Syagrus coronata,1,,1,,,,
Queen palm,Syagrus romanzoffiana,2,,2,,"Thin, sticky fruit",,
Queen palm,Syagrus romanzoffianum,2,mis,2,,[mis] Oakland,,
http://pfaf.org,Sympholoma,2,,2,,PFAF > 3,,
Snowberry,Symphoricarpos,-1,,-1,,Poisonous,,
https://fallingfruit.org/,Symphyotrichum,2,,2,,,,
https://fallingfruit.org/,Symphytum,2,,2,,,,
Miracle fruit,Synsepalum dulcificum,1,,1,,Makes sour taste sweet (miraculin),,
Lilac,Syringa,-1,,-1,,,,
Lilly pilly,Syzygium,2,,2,,,,
Brush cherry,Syzygium australe,1,,1,,,,
Jambul,Syzygium cumini,1,,1,,,,
Riberry,Syzygium luehmannii,1,,1,,,,
Blue lilly pilly,Syzygium oleosum,1,,1,,,,
Magenta lilly pilly,Syzygium paniculatum,1,,1,,,,
Java apple,Syzygium samarangense,1,,1,,,,
Creek lilly pilly,Syzygium smithii,2,,2,,Lacking in taste,,
http://www.fruitipedia.com/,Tabernaemontana,2,,2,,,,
http://www.fruitipedia.com/,Tacsonia,2,syn,2,,[syn] Passiflora,,
http://pfaf.org,Tagetes,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Talisia,2,,2,,,,
Tamarind,Tamarindus indica,1,,1,,,,
https://fallingfruit.org/,Tanacetum,2,,2,,,,
http://www.fruitipedia.com/,Tapura,2,,2,,,,
https://fallingfruit.org/,Taraxacum,2,,2,,,,
http://fruitandnuttrees.com/,Tasmannia,2,,2,,,,
,Taxodium,-1,,-1,,,,
,Taxodium,-1,,-1,,,,
Bald cypress,Taxodium distichum,-1,,-1,,,,
Yew,Taxus,2,,2,,"Fruit edible, seed lethal...",,
English Yew,Taxus baccata,2,,2,,"Fruit edible, seed lethal...",,
Pacific Yew,Taxus brevifolia,2,,2,,"Fruit edible, seed lethal...",,
Canadian Yew,Taxus canadensis,2,,2,,"Fruit edible, seed lethal...",,
Japanese Yew,Taxus cuspidata,2,,2,,"Fruit edible, seed lethal...",,
http://fruitandnuttrees.com/,Telfairia,2,,2,,,,
Chebulic myrobalan,Terminalia chebula,1,,1,,Widely harvested fruit in India,,
Okari nut,Terminalia kaernbachii,1,,1,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Tetracarpidium,2,,2,,,,
,Tetradium,-1,,-1,,,,
http://pfaf.org,Tetragonia,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Tetrastigma,2,,2,,,,
https://fallingfruit.org/,Teucrium,2,,2,,,,
Cacao,Theobroma cacao,1,,1,,,,
Cupuacu,Theobroma grandiflorum,1,,1,,,,
http://fruitandnuttrees.com/,Thespesia,2,,2,,,,
http://www.fruitipedia.com/,Thibaudia,2,,2,,,,
,Thuja,-1,,-1,,,,
https://fallingfruit.org/,Thymus,2,,2,,,,
https://fallingfruit.org/,Tibouchina,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Tieghemella,2,,2,,,,
http://pfaf.org,Tigridia,2,,2,,PFAF = 3,,
Linden,Tilia,1,bee,2,1,,,
American linden,Tilia americana,1,bee,2,1,,,
Small-leaved linden,Tilia cordata,1,,1,1,,,
Crimean linden,Tilia euchlora,1,bee,2,1,,,
European linden,Tilia europaea,1,,1,1,,,
Large-leaved linden,Tilia platyphyllos,1,,1,1,,,
Silver linden,Tilia tomentosa,1,bee,2,1,"Leaves, tea from fruit, choco paste?",,
http://www.fruitipedia.com/,Tontelea,2,,2,,,,
,Tontellea,2,syn,2,,[syn] Tontellea,,
Chinese toon,Toona sinensis,1,,1,,Leaves used extensively in China as vegetable.,,
California nutmeg,Torreya californica,1,,1,,,,
Kaya,Torreya nucifera ,1,,1,,,,
,Trachycarpus,2,,2,,,,
Chusan palm,Trachycarpus fortunei,2,,2,,,http://www.pfaf.org/user/Plant.aspx?LatinName=Trachycarpus+fortunei,
https://fallingfruit.org/,Tragopogon,2,,2,,,,
http://fruitandnuttrees.com/,Trapa,2,,2,,,,
http://www.fruitipedia.com/,Treculia,2,,2,,,,
http://www.fruitipedia.com/,Trema,2,,2,,,,
Chinese tallow tree,Triadica sebifera,1,bee,3,1,,http://www.eattheweeds.com/popcorn-tree-florida-aspen-tallow-tree-2/,
Chinese tallow,Triadica sebifera,1,cyn,3,1,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Trichoscypha,2,,2,,,,
https://fallingfruit.org/,Trifolium,2,,2,,,,
http://pfaf.org,Trigonella,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Triphasia,2,,2,,,,
http://pfaf.org,Triteleia,2,,2,,PFAF > 3,,
http://pfaf.org,Triticosecale,2,,2,,PFAF = 3,,
http://pfaf.org,Triticum,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Tropaeolum,2,,2,,,,
Hemlock,Tsuga,-1,,-1,,Although sometimes needles used to make tea.,,
Eastern hemlock,Tsuga canadensis,-1,,-1,,,,
Canadian hemlock,Tsuga canadensis,-1,cyn,-1,,,,
http://pfaf.org,Tussilago,2,,2,,PFAF = 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Tylosema,2,,2,,,,
https://fallingfruit.org/,Typha,2,,2,,,,
http://www.fruitipedia.com/,Uapaca,2,,2,,,,
http://www.fruitipedia.com/,Uapaca,2,,2,,,,
Chilean guava,Ugni molinae,1,,1,,,,
https://fallingfruit.org/,Ulex,2,,2,,,,
http://pfaf.org,Ullucus,2,,2,,PFAF = 3,,
Elm,Ulmus,1,bee,2,1,,,
Frontier elm,Ulmus 'Frontier',1,bee,3,1,Hybrid,,
Morton elm,Ulmus 'Morton',1,bee,3,1,Hybrid,,
American elm,Ulmus americana,1,bee,2,1,,,
Cedar elm,Ulmus crassifolia,1,bee,3,1,,,
Texas cedar elm,Ulmus crassifolia,1,cyn,3,1,,,
Wych elm,Ulmus glabra,1,,1,1,Young leaves and fruits,,
Chinese elm,Ulmus parvifolia,1,bee,2,1,,http://www.eattheweeds.com/chinese-elm-a-tree-that-doesnt-go-dutch-2/,
Lacebark elm,Ulmus parvifolia,1,cyn,2,1,,,
English elm,Ulmus procera,1,,1,1,Young leaves and fruits,,
Siberian elm,Ulmus pumila,1,bee,2,1,,http://www.eattheweeds.com/chinese-elm-a-tree-that-doesnt-go-dutch-2/,
Slippery elm,Ulmus rubra,1,bee,1,1,,http://www.foragingtexas.com/2006/04/slippery-elm.html,
Slippery elm,Ulmus rubra,1,,2,1,Inner bark very nutritious,http://eattheweeds.com/forum/index.php?topic=90.0,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Umbellaria,2,,2,,,,
California laurel,Umbellularia californica ,1,,1,,,,
http://pfaf.org,Umbilicus,2,,2,,PFAF = 3,,
,Ungnadia,-1,,-1,,Monotypic genus,,
Mexican buckeye,Ungnadia speciosa,-1,,-1,,,,
https://fallingfruit.org/,Urtica,2,,2,,,,
,Vaccinium,1,,1,,,,
American cranberry,Vaccinium macrocarpon,1,,1,,,,
Thinleaf huckleberry,Vaccinium membranaceum,1,,1,,,,
Bilberry,Vaccinium myrtillus,1,,1,,,,
Evergreen huckleberry,Vaccinium ovatum,1,,1,,,,
Red huckleberry,Vaccinium parvifolium,1,,1,,,,
Lingonberry,Vaccinium vitis-idaea,1,,1,,,,
Needle bush,Vachellia farnesiana,2,,2,,Ripe seeds pressed for cooking oil,,
Huisache,Vachellia farnesiana,2,cyn,2,,,,
Red acacia,Vachellia seyal,2,,2,,Source of gum arabic,,
http://pfaf.org,Valeriana,2,,2,,PFAF = 3,,
http://pfaf.org,Valerianella,2,,2,,PFAF > 3,,
http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,Vallesia,2,,2,,,,
Spanish tamarind,Vangueria madagascariensis,1,,1,,"Large orange fruits, juicy, pleasing flavor",,
http://www.fruitipedia.com/,Vasconcella,2,syn,2,,,,
http://www.fruitipedia.com/,Vasconcellea,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Vateria,2,,2,,,,
https://fallingfruit.org/,Verbascum,2,,2,,,,
Viburnum,Viburnum,2,,2,,,,
,Viburnum alnifolium,3,,3,,,,
,Viburnum alnifolium,1,,1,,,http://www.eattheweeds.com/valuable-viburnums/,
,Viburnum casinoides,1,,1,,Leaves used for tea,http://www.eattheweeds.com/valuable-viburnums/,
,Viburnum edule,3,,3,,,,
,Viburnum japonicum ,-1,,-1,,Famine food,,
,Viburnum lantana,3,,3,,,,
Nannyberry,Viburnum lentago,1,,1,,,,
,Viburnum nuduns,3,,3,,,http://www.eattheweeds.com/valuable-viburnums/,
,Viburnum oplus,3,,3,,Toxic raw,,
,Viburnum opulus,2,,2,,Not to be eaten in huge quantities,,
,Viburnum opulus sargentii,2,,2,,Not to be eaten in huge quantities,,
Japanese snowball,Viburnum plicatum,-1,,-1,,,,
Blackhaw,Viburnum prunifolium,2,,2,,"Small variable fruit, medicinal uses",,
Rusty blackhaw,Viburnum rufidulum,1,,1,,,http://www.eattheweeds.com/valuable-viburnums/,
,Viburnum sargentii,2,syn,2,,Not to be eaten in huge quantities,,
,Viburnum setigerum,1,,1,,,http://www.eattheweeds.com/valuable-viburnums/,
,Viburnum sieboldii,-1,,-1,,,,
,Viburnum tinus,-1,,-1,,,,
American cranberrybush,Viburnum trilobum,1,,1,,,http://www.eattheweeds.com/valuable-viburnums/,
https://fallingfruit.org/,Vicia,2,,2,,,,
https://fallingfruit.org/,Vigna,2,,2,,,,
https://fallingfruit.org/,Viola,2,,2,,,,
,Viscum,-1,,-1,,Poisonous,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Vitellaria,2,,2,,,,
Vitex,Vitex,2,,2,,,,
Chaste tree,Vitex agnus castus,1,mis,1,,[mis] Phoenix,,
Chaste tree,Vitex agnus-castus,1,,1,,Mostly a medicinal food,,
African black plum,Vitex doniana,1,,1,,,,
Uvalama,Vitex mollis,1,,1,,Edible fruit,http://www.deepdyve.com/lp/elsevier/partial-physicochemical-and-nutritional-characterization-of-the-fruit-PBAltomJUS,
Five-leaved chaste tree,Vitex negundo,2,,2,,Famine food. Seeds alternative to pepper.,,
Simple-leaf chaste tree,Vitex trifolia,0,,0,,Medicinal properties only,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=413,
Grape,Vitis ,2,,2,,,,
Fox grape,Vitis labrusca,1,,1,,,,
Concord grape,Vitis labrusca 'Concord',1,,1,,,,
Mustang grape,Vitis mustangensis,2,,2,,,,
Muscadine,Vitis rotundifolia,1,,1,,,,
Common grape,Vitis vinifera,1,,1,,,,
Desert fan palm,Washingtonia filifera,2,,2,,Thinly fleshed,,
California fan palm,Washingtonia filifera,2,cyn,2,,,,
Mexican fan palm,Washingtonia robusta,2,,2,,Thinly fleshed,,
http://www.fruitipedia.com/,Willughbeia,2,,2,,,,
http://pfaf.org,Withania,2,,2,,PFAF = 3,,
http://pfaf.org,Wolffia,2,,2,,PFAF > 3,,
http://pfaf.org,Wyethia,2,,2,,PFAF > 3,,
Yellowhorn,Xanthoceras sorbifolium,2,,2,,"Leaves, flowers, and seeds all edible. But worth it?",,
http://www.fruitipedia.com/,Xanthochymus,2,syn,2,,[syn] Garcinia,,
http://www.fruitipedia.com/,Ximenia,2,,2,,,,
,Xylosma,-1,,-1,,Fruit eaten in India? Famine food?,,
,Xylosma congestum,-1,,-1,,,,
,Xymenia,2,syn,2,,[syn] Ximenia,,
Yucca,Yucca,2,,2,,Yucca flowers and stalks are edible. Fruit of thick-leaved yucca is also edible,,
Aloe yucca,Yucca aloifolia,2,,2,,Edible fruit and flowers,http://www.pfaf.org/user/Plant.aspx?LatinName=Yucca+aloifolia,
Banana yucca,Yucca baccata,1,,1,,,,
Soaptree yucca,Yucca elata  ,2,,2,,"Various edible parts, soap making",http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=299,
Spineless yucca,Yucca elephantipes,2,syn,2,,,,
Faxon yucca,Yucca faxoniana,2,,2,,Edible flowers and fruit,,
Weak-leaf yucca,Yucca flaccida,3,,3,,,,
Spineless yucca,Yucca gigantea,2,,2,,Flowers used as flavoring,,
Moundlily yucca,Yucca gloriosa,2,,2,,"Flowers, stalk, fruit. Bitter taste",,
Large-flowered yucca,Yucca grandiflora,3,,3,,,,
Spineless yucca,Yucca guatemalensis,2,syn,2,,,,
Curve-leaf yucca,Yucca recurvifolia,1,,1,,"Edible fruit, flowers. Verified in other sources.",http://www.pfaf.org/user/Plant.aspx?LatinName=Yucca+recurvifolia,
Beaked yucca,Yucca rostrata,3,,3,,,,
Twist-leaf yucca,Yucca rupicola,3,,3,,,,
Mountain yucca,Yucca schottii,3,,3,,,,
Faxon yucca,Yucca torreyi,2,syn,2,,,,
Trecul yucca,Yucca treculeana,3,,3,,,,
Common yucca,Yucca filamentosa,1,,1,,,http://www.pfaf.org/user/Plant.aspx?LatinName=Yucca+filamentosa,
http://www.fruitipedia.com/,Zalacca,2,syn,2,,[syn] Salacca,,
,Zanthoxylum,2,,2,,Used for spices ,,
